Afghanistan; Kabul
Albania; Tirana
Algeria; Algeria
Andorra; Andorra la Vella
Angola; Luanda
Antigua and Barbuda; St. Johns
Argentina; Buenos Aires
Armenia; Yerevan
Australia; Canberra
Austria; Vein
Azerbaijan; Baku
Bahamas; Nassau
Bahrain; Manama
Bangladesh; Dacca
Barbados; Bridgetown
Belarus; Minsk
Belgium; Brussels
Belize; Belmopan
Benin; Porto-Novo
Bolivia; Sucre
Bosnia and Herzegovina; Sarajevo
Botswana; Gaborone
Brazil; Brazilia
Brunei; Bandar Seri Begawan
Bulgaria; Sofia
Burkina Faso; Ouagadougou
Burundi; Bujumbura
Butane; Thimphu
CAR; Bangui
Cambodia; Phnom Penh
Cameroon; Yaounde
Canada; Ottawa
Cape Verde; Pry
Chad; Ndjamena
Chile; Santiago
China; Beijing
Colombia; Bogota
Comoros; Moroni
Costa Rica; San Jose
Croatia; Zagreb
Cuba; Havana
Cyprus; Nicosia
Czech Republic; Prague
Côte d'Ivoire; Yamoussoukro
DR Congo; Kinshasa
Denmark; Copenhagen
Djibouti; Djibouti
Dominica; Roseau
Dominican Republic; Santo Domingo
East Timor; Dili
Ecuador; Quito
Egypt; Cairo
Equatorial Guinea; Malabo
Eritrea; Asmara
Estonia; Tallinn
Ethiopia; Addis Ababa
Fiji; Suva
Finland; Helsinki
France; Paris
Gabon; Libreville
Gambia; Banjul
Georgia; Tbilisi
Germany; Berlin
Ghana; Accra
Greece; Athens
Grenada; Saint-Georges
Guatemala; Guatemala
Guiana; Cayenne
Guinea-Bissau; Bissau
Guinea; Conakry
Guyana; Georgetown
Haiti; Port-au-Prince
Honduras; Tegucigalpa
Hungary; Budapest
Iceland; Reykjavik
India; Delhi (New Delhi)
Indonesia; Jakarta
Iran; Tehran
Iraq; Baghdad
Ireland; Dublin
Israel; Jerusalem
Italy; Rome
Jamaica; kingston
Japan; Tokyo
Jordan; Amman
Kazakhstan; Astana
Kenya; Nairobi
Kiribati; South Tarawa (Bairiki)
Kuwait; Kuwait City
Kyrgyzstan; Bishkek
Laos; Vientiane
Latvia; Riga
Lebanon; Beirut
Lesotho; Maseru
Liberia; Monrovia
Libya; Tripoli
Liechtenstein; Vaduz
Lithuania; Vilnius
Luxembourg; Luxembourg
Macedonia; Skopje
Madagascar; Antananarivo
Malawi; Lilongwe
Malaysia; Kuala Lumpur
Maldives; Male
Mali; Bamako
Malta; Valletta
Marshall Islands; Majuro
Mauritania; Nouakchott
Mauritius; Port Louis
Mexico; Mexico
Micronesia; Palikir
Moldova; Kishinev
Monaco; Monaco
Mongolia; Ulaanbaatar
Montenegro; Podgorica
Morocco; Rabat
Mozambique; Maputo
Myanmar; Naypyidaw
Namibia; Windhoek
Nepal; Katmandu
Netherlands; Amsterdam
New Zealand; Wellington
Nicaragua; Managua
Niger; Niamey
Nigeria; Abuja
North Korea; Pyongyang
Norway; Oslo
Oman; Muscat
Pakistan; Islamabad
Palau; Ngerulmud
Panama; Panama
Papua New Guinea; Port Moresby
Paraguay; Asuncion
Peru; Lima
Philippines; Manila
Poland; Warsaw
Portugal; Lisbon
Qatar; fur coat
Republic of the Congo; Brazzaville
Romania; Bucharest
Russia; Moscow
Rwanda; Kigali
SOUTH AFRICA; Pretoria
Saint Kitts and Nevis; Buster
Saint Lucia; Castries
Saint Vincent and the Grenadines; Kingstown
Salvador; San Salvador
Samoa; Apia
San Marino; San Marino
Sao Tome and Principe; Sao Tome
Saudi Arabia; Riyadh
Senegal; Dakar
Serbia; Belgrade
Seychelles; Victoria
Sierra Leone; Freetown
Singapore; Singapore
Slovakia; Bratislava
Slovenia; Ljubljana
Solomon islands; Honiara
Somalia; Mogadishu
South Sudan; Juba
Spain; Madrid
Sri Lanka; Sri Jayawardenepura Kotte
Sudan; Khartoum
Suriname; Paramaribo
Swaziland; Mbabane
Sweden; Stockholm
Switzerland; Berne
Syria; Damascus
Tajikistan; Dushanbe
Tanzania; Dodoma
Thailand; Bangkok
The Republic of Korea; Seoul
Togo; Lome
Tonga; Nuku'alofa
Trinidad and Tobago; Port-of-Spain
Tunisia; Tunisia
Turkey; Ankara
Turkmenistan; Ashgabat
Tuvalu; Funafuti
USA; Washington
Uganda; Kampala
Ukraine; Kiev
United Arab Emirates; Abu Dhabi
United Kingdom; London
Uruguay; Montevideo
Uzbekistan; Tashkent
Vanuatu; Port Vila
Vatican; Vatican
Venezuela; Caracas
Vietnam; Hanoi
Yemen; Sana
Zambia; Lusaka
Zimbabwe; Harare
